CarName,TrackName,Time,TransGear[TransGear],VehicleSpeed[mph],EngineSpeed[rpm],LapNumber
10,St Petersburg,5051.26,5.0,106.487719,8530.39999,1
10,St Petersburg,2065.66,5.0,141.047241,10645.66665,1
10,St Petersburg,2745.02,2.0,51.152771,6013.199993,1
10,St Petersburg,1273.16,4.0,123.736181,11139.53332,1
10,St Petersburg,3633.38,2.0,62.30165,7224.599992,1
10,St Petersburg,2925.92,1.0,80.574235,11297.59999,1
10,St Petersburg,2387.88,2.0,98.151073,11292.66665,1
10,St Petersburg,2183.08,2.0,89.945265,11047.39999,1
10,St Petersburg,2895.74,1.0,57.962982,8139.999991,1
10,St Petersburg,1005.1,1.0,43.294323,6051.333326,1
10,St Petersburg,2126.9,5.0,147.161191,11493.99999,1
10,St Petersburg,4818.24,2.0,92.989926,10308.46665,1
10,St Petersburg,4744.74,2.0,61.778916,6942.999992,1
10,St Petersburg,4096.76,6.0,158.449373,11147.29999,1
10,St Petersburg,4528.92,2.0,56.355479,7057.399992,1
10,St Petersburg,2438.22,5.0,139.371497,11008.06665,1
10,St Petersburg,4519.36,3.0,102.163161,10741.39999,1
10,St Petersburg,3969.2,5.0,146.368471,11499.99999,1
10,St Petersburg,3512.94,2.0,58.200285,6981.899992,1
10,St Petersburg,1996.94,3.0,107.776082,11637.19999,1
10,St Petersburg,3190.2,2.0,67.781424,7644.499991,1
10,St Petersburg,2658.82,2.0,54.386762,6598.399992,1
10,St Petersburg,1126.4,5.0,135.524367,10694.99999,1
10,St Petersburg,4520.14,3.0,115.837815,10460.59999,1
10,St Petersburg,4764.24,6.0,79.370531,8407.59999,1
10,St Petersburg,3712.26,3.0,100.668922,10694.59999,1
10,St Petersburg,3818.4,4.0,136.604416,10844.66665,1
10,St Petersburg,2990.54,2.0,70.828394,8666.99999,1
10,St Petersburg,2749.9,2.0,60.908617,7043.999992,1
10,St Petersburg,2023.48,5.0,139.355591,10971.99999,1
10,St Petersburg,3843.98,6.0,152.536809,11657.19999,1
10,St Petersburg,4093.7,4.0,134.269868,10367.99999,1
10,St Petersburg,1605.1,2.0,69.289901,9148.99999,1
10,St Petersburg,1689.28,5.0,149.690507,11752.75999,1
10,St Petersburg,1751.36,5.0,146.735842,11531.99999,1
10,St Petersburg,3842.34,5.0,137.997962,10872.59999,1
10,St Petersburg,3489.82,2.0,62.806528,7360.599992,1
10,St Petersburg,4235.46,5.0,136.823504,10836.49999,1
10,St Petersburg,2111.96,6.0,157.294156,11038.39999,1
10,St Petersburg,1711.34,5.0,141.46592,11185.09999,1
10,St Petersburg,2960.9,1.0,61.347307,9258.999989,1
10,St Petersburg,729.2,2.0,52.573511,6050.999993,1
10,St Petersburg,4554.98,2.0,79.527536,8940.19999,1
10,St Petersburg,722.7,1.0,41.013649,5549.999994,1
10,St Petersburg,1333.0,2.0,84.446506,10711.99999,1
10,St Petersburg,1988.2,6.0,163.944283,11371.99999,1
10,St Petersburg,2002.9,5.0,145.963132,11038.66665,1
10,St Petersburg,979.48,5.0,145.250966,11431.19999,1
10,St Petersburg,2476.46,4.0,80.150938,8945.39999,1
10,St Petersburg,1492.9,2.0,68.956395,7843.666658,1
10,St Petersburg,1599.48,5.0,138.512075,9999.999989,1
10,St Petersburg,1045.5,2.0,78.274063,9916.999989,1
10,St Petersburg,721.54,1.0,43.085497,5652.199994,1
10,St Petersburg,894.54,2.0,68.060031,7632.399991,1
10,St Petersburg,985.04,1.0,67.4002,8800.59999,1
10,St Petersburg,4684.8,2.0,75.585485,9914.499989,1
10,St Petersburg,3683.16,2.0,63.752661,8221.266657,1
10,St Petersburg,3542.52,3.0,68.523733,6707.199992,1
10,St Petersburg,4929.74,2.0,65.38274,8043.733324,1
10,St Petersburg,2396.14,2.0,95.203386,10438.59999,1
10,St Petersburg,3321.9,2.0,95.028936,10098.66666,1
10,St Petersburg,1076.02,2.0,78.713266,10026.19999,1
10,St Petersburg,4767.06,2.0,87.157353,11046.67999,1
10,St Petersburg,1931.86,2.0,74.567519,9408.399989,1
10,St Petersburg,4053.8,2.0,62.455576,7136.999992,1
